source_run,cluster_id,n,median_weighted_error,median_nn_distance_12d,dominant_regime,dominant_failure_class,center_C1,center_C3,center_A1_x,center_A1_y,center_B2_x,center_B2_y,center_A2_x,center_A2_y,center_S3_x,center_S3_y,center_A3_x,center_A3_y
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,1,137,0.08780597150325775,1.1271578073501587,coupled_full_random,coverage_limited_sparse_failure,-94.89168637686403,0.304061901476914,47.5669892817518,31.292762683255823,0.9701823510610278,2.4649903617636135,-11.56019020776679,9.471849726499432,-20.255085119365777,-89.16366583413449,92.6982246524226,8.161701091014514
v13_active_12d_hole_search_20260618_025610_utc,5,52,0.08756698668003082,1.147430956363678,coupled_full_random,coverage_limited_sparse_failure,-90.31707620620728,0.4394237053079101,8.35984511329578,33.4301652954175,-1.0425322585954113,1.7056730872449968,-10.889329137710424,7.367979739362804,-69.40552282333374,60.02320021849411,-63.14278076245235,61.21064076056847
v13_active_12d_hole_search_20260618_025610_utc,1,25,0.08725833892822266,0.9495207667350769,coupled_full_random,coverage_limited_sparse_failure,-70.53423294067385,0.798050322085619,-18.248688831329343,15.285464036464692,-0.23896264076232915,0.05132432281970972,0.9148341405391693,7.817963833808899,-36.34208569526672,68.72078247070313,35.2773853302002,-57.09314918518066
v13_active_12d_hole_search_20260618_025610_utc,0,55,0.0858829915523529,1.152762770652771,coupled_full_random,coverage_limited_sparse_failure,-94.2305326981978,0.18437968370589344,50.142685803500086,13.36662067933516,-1.6785307876088407,2.2141218228773627,-8.53647869608619,10.613722913915462,95.73280598033557,7.768914309414929,-89.90273243297231,32.67440220225941
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,4,44,0.0845085009932518,1.0110388100147247,coupled_full_random,coverage_limited_sparse_failure,85.87428153644908,1.437976440753449,6.549067578532479,-14.117336813206991,0.8646564949303865,0.5666343495249747,-5.133237867192789,0.14363836598667198,25.267231171781372,-0.7423610578883797,7.496541772037746,21.272226764397185
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,3,43,0.0828690454363823,1.0370856523513794,coupled_full_random,coverage_limited_sparse_failure,-86.32882725915245,0.6381110377436461,30.78082305470178,27.594784658315575,0.9612138565023276,1.4009990801298333,12.080907014913338,-2.0043223981940472,82.01125597399336,0.04276842849199163,84.82664507488875,-9.401157146276438
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,1,204,0.08191147446632385,1.066274642944336,coupled_full_random,coverage_limited_sparse_failure,-88.44496072507384,1.8997345225995077,16.542145390136575,56.22557823330756,-2.8893612231694,-0.07513613597142933,13.104917749470355,8.629708099598979,82.01013239692244,54.31609854978671,-69.92502510781381,63.466510221069896
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,7,56,0.08121901005506516,0.9930793642997742,coupled_full_random,mixed_failure,-68.91591557434627,0.27121197512107237,-26.462256019668917,-27.95646516765867,-0.775975047910054,-1.411373078756567,1.5383855099124568,-0.3759190780775891,-63.37925683600562,32.525787757975706,-20.2811222076416,11.924049045358379
v13_active_12d_hole_search_20260618_025610_utc,2,31,0.07777680456638336,0.889436662197113,coupled_full_random,coverage_limited_sparse_failure,72.491525567347,1.4193518488637862,-10.793893965982623,-3.3369804610828724,0.5252666242060162,0.9030738851476097,-1.5444274679307015,1.0723239178619077,-23.46433741046536,-23.23596156797102,-7.63507495387908,32.093686596039795
v13_active_12d_hole_search_20260618_025610_utc,3,66,0.07655282691121101,1.0292097926139832,coupled_full_random,coverage_limited_sparse_failure,-92.3432470668446,0.11274185697689201,29.472795287768044,48.89588147943671,-2.2503762353550303,1.7993422204797926,-14.334924278837262,2.7564914687677766,92.62185761422815,-26.691208514300286,-58.841442368247264,71.34565902478768
