split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
blind,8e4bbe5856c969bf06a6,574123,coupled_full_random,enhanced_v12_benchmark_v2,0.5499118566513062,1.2206536531448364,0.022398272529244423,0.6602020263671875,0.028333857655525208,1.5063652658635938,0.17293172556254024,0.1439101551492614,2.4526472228179816,7.119533281656698,99.7871428890407,33.97433239231475,0.4924439753120892,104.77839093375547,-8.77822652782632,q4_farthest
stress,20dd88a85a8b5b12b4da,16280,coupled_sparse_random,parent_cached_dataset,0.611499011516571,1.4229930639266968,0.022396786138415337,2.7196578979492188,0.01588815450668335,5.561682891085227,0.06576165214864241,0.17572490602082888,3.495662746065173,2.892179269282494,69.56436151214808,89.98317947104815,2.8611647532669453,25.518663468304055,43.934532151246344,q4_farthest
blind,b05f55e80581c68cbe79,854,coupled_full_random,parent_cached_dataset,0.3829236328601837,1.5658035278320312,0.022390760481357574,1.4206676483154297,0.008402705192565918,2.0025212492417204,0.039413851413426605,0.061654900038564435,7.4141133819228315,4.6092114562119475,61.190696438866524,35.71775978102316,0.188116586019352,96.97669941881293,32.49175700430982,q4_farthest
stress,91afa0051c14911bd2d8,558502,coupled_sparse_random,enhanced_v12_benchmark_v2,0.4044954776763916,1.5093504190444946,0.022387607023119926,1.7523889541625977,0.007650852203369141,1.6206182153345392,0.08656212986637406,0.10465882841442316,7.387262177927252,3.316340311445264,23.505054851773714,20.64394690354549,1.7229127221440947,168.38186500829465,136.76196757284094,q4_farthest
stress,e3a3f21bf05f3810acb0,3593,coupled_full_random,parent_cached_dataset,0.5030600428581238,1.1946333646774292,0.022382179275155067,5.025234222412109,0.024772047996520996,1.346823590974121,0.10278623698863709,0.8861153175621794,3.4695829670071743,1.8321995931168102,0.0,0.0,1.6679041745754875,-180.0,-137.2546166584112,q4_farthest
stress,de0b948119d9449147c8,553803,coupled_C1_A1_C3_A2_random,enhanced_v12_benchmark_v2,0.1981596201658249,1.5309762954711914,0.022379523143172264,2.348043918609619,0.01795518398284912,1.8665645145410683,0.060535720540865895,0.16270457070083863,8.463013167445075,0.9298195817385354,0.0,0.0,0.0,0.0,0.0,q4_farthest
blind,50381672de4d1c476ec3,541314,coupled_full_random,enhanced_v12_benchmark_v2,0.6529085636138916,1.4545007944107056,0.02237900160253048,0.3201637268066406,0.013398051261901855,0.6114867291492703,0.038910698574488325,0.24639847432631323,3.9270110315559448,8.94110191575373,36.48688152911534,98.79251588427212,1.2639352278051716,-55.546940640502626,0.7060483492952301,q4_farthest
stress,5159cb7ed76561e74ebe,1749,coupled_full_random,parent_cached_dataset,0.2757382094860077,1.6714590787887573,0.022377729415893555,1.5926494598388672,0.0017616748809814453,0.5231213024937981,0.0010045298849126578,0.026561143973741628,7.8818591755222815,6.8258834308299505,0.0,86.62862195580051,0.0,82.45391690283782,-180.0,q4_farthest
stress,775bcca9ec587aaf9f3e,560084,coupled_full_random,enhanced_v12_benchmark_v2,0.5907211899757385,1.4294594526290894,0.022365769371390343,0.6194610595703125,0.010048985481262207,0.21776745714923043,0.11489432064977398,0.20254230381619262,9.427373622323051,2.8849560348695666,63.67663126522926,45.27590747509744,0.404251558106664,46.11676597057598,-63.928773228201706,q4_farthest
stress,ea7a250309a85e005dfc,569464,coupled_sparse_random,enhanced_v12_benchmark_v2,0.42358651757240295,1.5354877710342407,0.022365260869264603,3.87630558013916,0.00911569595336914,1.39707788721665,0.002706006524877974,0.46062675606718567,6.174962996803796,3.4746996415356426,0.0,53.38749709247471,0.0,69.55425346356634,0.0,q4_farthest
stress,6e3c3a98b0b132739695,504016,coupled_C3_B2_random,enhanced_v12_benchmark_v2,0.046436820179224014,1.3104628324508667,0.0223630852997303,0.8074997067451477,0.019054412841796875,0.7489150821524466,0.22511287819904305,0.06159822450207865,9.19568522072203,0.7633007915583729,0.0,0.0,2.9357412126437143,0.0,103.83118112618115,q2
blind,ceaa2935505e21cde27c,551833,coupled_full_random,enhanced_v12_benchmark_v2,0.578804612159729,1.2990683317184448,0.022362418472766876,0.42597198486328125,0.017953991889953613,0.524149347416435,0.20442441528662134,0.21604538753384847,8.272093619916195,2.165542752580764,67.34629622716174,7.097141400462994,2.8172496673892007,-41.07246367337555,149.2424825892948,q4_farthest
blind,ad97dadee4e8936474fc,560843,coupled_full_random,enhanced_v12_benchmark_v2,0.42278122901916504,1.3564907312393188,0.022362157702445984,2.48773193359375,0.004404425621032715,1.365404536018914,0.16093068023116242,0.11208956557038395,5.738323359290759,4.154384115288105,33.38091669414948,27.252713730273577,0.7731860747802508,20.176645863786575,-76.36019808104173,q4_farthest
stress,be931730a16033a15d77,2323,coupled_full_random,parent_cached_dataset,0.4877745509147644,1.53689706325531,0.02236076071858406,0.38687896728515625,0.006524085998535156,0.7126175725909333,0.04593529056566074,0.18723879631207846,7.566408968894318,5.940249327629086,69.93719554505434,98.25453596682496,0.4348456955671791,-5.084468614124859,-156.71728775146906,q4_farthest
stress,bf2885e0732d7b02eb31,569413,coupled_full_random,enhanced_v12_benchmark_v2,0.8050755262374878,1.2024093866348267,0.02236049994826317,0.48700132966041565,0.009253263473510742,2.9984220625860663,0.12734565504213075,0.7022900186564862,2.757942768061573,4.321066903417012,76.18027292215565,86.5442428075749,1.607805929535312,165.03874396957042,-111.23072902666115,q4_farthest
stress,5896d493edff2346dae2,532299,coupled_full_random,enhanced_v12_benchmark_v2,0.5413374304771423,1.4942952394485474,0.022357404232025146,0.132720947265625,0.0016661286354064941,2.316303501353261,0.07273248055496336,0.16759453938181024,6.2486941577376545,4.658717488881933,79.2904952284683,85.30766814251682,0.3848331472241997,-144.2869525041537,37.86884906502519,q4_farthest
